uid,timestamp,params,path,notes
2026-04-03_17-31-25_b7841b47aa,2026-04-03T17:31:25.559938,"{""equation"": {""sigma"": 10.0, ""rho"": 28.0, ""beta"": 2.6666666666666665}, ""simulation"": {""dt"": 0.01, ""T_steps"": 5000, ""N"": 1, ""initial_conditions"": [1.0, 1.0, 1.0]}}",2026-04-03_17-31-25_b7841b47aa,Single Lorenz Oscillator simulation.
2026-04-03_17-34-01_b7841b47aa,2026-04-03T17:34:01.772457,"{""equation"": {""sigma"": 10.0, ""rho"": 28.0, ""beta"": 2.6666666666666665}, ""simulation"": {""dt"": 0.01, ""T_steps"": 5000, ""N"": 1, ""initial_conditions"": [1.0, 1.0, 1.0]}}",2026-04-03_17-34-01_b7841b47aa,Single Lorenz Oscillator simulation.
