IC_Index,Episode_Efficiency_Multiplier,Steady_State_Efficiency_Multiplier,PID_Total_Effort,Hybrid_Total_Effort,RL_Residual_Total
1,1.0522481382644133,24.99989487540332,21210.85581226313,16249.342967953926,4715.15478515625
2,0.615721857886728,24.99989424066592,9720.89165801453,7670.820928932,3329.540283203125
3,0.8873946725254508,24.999866565907418,16820.08906719033,13717.588305751175,3496.1904296875
4,1.5364547095324088,24.999888446965723,12987.845221947113,9206.776475082952,2460.90478515625
5,-0.20386323488965682,24.999916564305792,12864.508418140145,13711.698622856538,4155.67919921875
6,1.1644954297956,24.999934961449977,21226.35604748708,16208.97453446732,4308.63134765625
7,0.2866431516967495,24.9999160650935,18845.836086761818,17586.55645644248,4393.1962890625
8,1.8325474663566412,23.711848684931322,40660.73777385553,30394.24135463093,5602.30859375
9,1.6880377628010828,24.99980462612959,30009.874579237767,20347.05765231137,5724.28955078125
10,0.7298929953829054,25.00010061806612,22144.911664037456,18966.972174255916,4353.97998046875
11,1.0279807888521348,24.999938358166652,29651.63481481436,25193.108461027034,4337.1689453125
12,0.8852866273592769,24.999924210392873,17845.96644635289,14119.78076692528,4209.01611328125
13,1.377581820400733,24.999956168516857,35984.18188405924,27507.1850669072,6153.5341796875
14,0.6940073743891421,24.99989990566,15063.725594410296,11781.62578390085,4729.2001953125
15,0.6579349855063524,24.999944132979117,22419.070403895537,19564.630070767693,4338.48388671875
16,1.5992515877332674,24.99981867598557,26987.051425319558,19166.547175545373,4890.1025390625
17,0.6299483348004693,24.99988414925067,19299.975192339924,16428.908143312776,4557.623046875
18,-0.01978236398870486,24.99989450094952,11674.031631444883,11747.234496893,3700.410400390625
19,1.2246814427801687,24.99986071362772,26161.03482035318,20032.333609961646,5004.32275390625
20,0.6041141164469468,25.000156601567298,26770.652190659468,23878.409841664747,4787.576171875
21,0.865132650835392,24.999953873980804,27262.115464131097,22476.014081654546,5532.216796875
22,0.5779448123215719,24.999884693877387,24268.5602506551,21961.974744190284,3991.013427734375
23,0.6260248904652415,18.521968244637673,25968.59385461116,23215.085120495438,4398.4013671875
24,0.6106809388919032,24.99996280433858,17336.74171938176,14991.238190375307,3840.80029296875
25,1.9747406164800587,24.999789341618083,35482.06764038656,25101.17441506038,5256.8388671875
26,-0.1687860940101884,24.999836588003387,11462.253985079837,12136.25687098627,3993.237060546875
27,-0.21789247827149769,24.999904664808952,12120.196664742945,13022.693159499539,4141.93505859375
28,3.002825546236315,24.999929445672205,52693.04572774095,30979.467580565033,7231.048828125
29,0.29762674803572126,24.999893075265835,22051.729965618066,20668.27785985295,4648.27880859375
30,1.9960860809365415,24.99988238860796,30303.385381322434,19579.32616751567,5372.54345703125
31,1.5592437818001983,24.999906527978705,20299.066127495007,12855.665714300458,4773.724609375
32,0.7741752383060112,24.999936289443326,19254.41031572602,16422.271086682078,3658.266357421875
33,1.7188108896685501,24.99989012679801,17918.621435158548,10772.326938320273,4157.69677734375
34,1.0291462307550807,24.999855459677427,14034.271925837531,10225.824590340897,3700.589111328125
35,3.1542809466057866,24.999946688087512,45019.26859144917,24040.76054589522,6650.80517578125
36,1.3785818359906292,24.999887159072117,19741.312725171527,13184.524414191143,4756.18359375
37,0.7884574602069108,24.999887858090123,11759.967928357171,9315.992152287623,3099.692626953125
38,0.2079944710274748,24.99985457123415,19599.71628448461,18770.96683408675,3984.478271484375
39,-0.2430634345531089,24.999838540371258,14834.795900141304,15886.719375827768,4327.7734375
40,1.7325452745659722,24.9998381588002,25955.397224377783,17462.17265886879,4902.166015625
41,0.8991899027695086,25.000061102751097,25112.145735204493,21166.34413735707,4388.173828125
42,1.5207202489886853,24.99990155249633,14137.476617319393,8684.936763457607,3585.498291015625
43,0.5544612041951245,24.999921812960537,14758.091335906407,12466.647208929204,4132.740234375
44,0.33347801443155745,24.999897933991598,13184.530281198506,11922.907236160218,3783.22705078125
45,2.35387487108398,24.999858133040274,44745.50417253187,28655.318945231804,6835.6162109375
46,1.8976853618378904,24.999871153237283,26897.57862602944,16533.218059266186,5461.580078125
47,0.26928947490380994,24.999826055763222,15097.03100879771,13951.44636433361,4254.10107421875
48,0.9392901476741903,24.999945867677038,22142.36240788758,18066.805847655407,4338.97509765625
49,1.0978009091422043,24.99992739317079,25747.14020497498,20494.21109793355,4784.9560546875
50,-0.11811592130276236,24.999844392115968,17094.919421461367,17603.12880246351,4302.63232421875
